author,tags,text
Albert Einstein,"change,deep-thoughts,thinking,world",“The world as we have created it is a process of o...
J.K. Rowling,"abilities,choices","“It is our choices, Harry, that show what we truly..."
Albert Einstein,"inspirational,life,live,miracle,miracles",“There are only two ways to live your life. One is...
Jane Austen,"aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not..."
Marilyn Monroe,"be-yourself,inspirational","“Imperfection is beauty, madness is genius and it'..."
Albert Einstein,"adulthood,success,value",“Try not to become a man of success. Rather become...
André Gide,"life,love",“It is better to be hated for what you are than to...
Thomas A. Edison,"edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways th..."
Eleanor Roosevelt,misattributed-eleanor-roosevelt,“A woman is like a tea bag; you never know how str...
Steve Martin,"humor,obvious,simile","“A day without sunshine is like, you know, night.”"
Marilyn Monroe,"friends,heartbreak,inspirational,life,love,sisters","“This life is what you make it. No matter what, yo..."
J.K. Rowling,"courage,friends",“It takes a great deal of bravery to stand up to o...
Albert Einstein,"simplicity,understand","“If you can't explain it to a six year old, you do..."
Bob Marley,love,"“You may not be her first, her last, or her only...."
Dr. Seuss,fantasy,"“I like nonsense, it wakes up the brain cells. Fan..."
Douglas Adams,"life,navigation","“I may not have gone where I intended to go, but I..."
Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","“The opposite of love is not hate, it's indifferen..."
Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendshi..."
Mark Twain,"books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience..."
Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans",“Life is what happens to us while we are making ot...
Pablo Neruda,"love,poetry","“I love you without knowing how, or when, or from..."
Ralph Waldo Emerson,happiness,“For every minute you are angry you lose sixty sec...
Mother Teresa,attributed-no-source,"“If you judge people, you have no time to love the..."
Garrison Keillor,"humor,religion",“Anyone who thinks sitting in church can make you...
Jim Henson,humor,“Beauty is in the eye of the beholder and it may b...
Dr. Seuss,"comedy,life,yourself","“Today you are You, that is truer than true. There..."
Albert Einstein,"children,fairy-tales","“If you want your children to be intelligent, read..."
J.K. Rowling,,“It is impossible to live without failing at somet...
Albert Einstein,imagination,“Logic will get you from A to Z; imagination will...
Bob Marley,music,"“One good thing about music, when it hits you, you..."
Dr. Seuss,"learning,reading,seuss","“The more that you read, the more things you will..."
J.K. Rowling,dumbledore,"“Of course it is happening inside your head, Harry..."
