980705423505082,老张烧烤,46,月售1249,http://p0.meituan.net/waimaipoi/856435fc730df39ab67bc317c0add69f43008.jpg,,37分钟,0,起送 ¥50,配送 ¥5,,1,,3.2km,人均 ¥35,,"[{'info': '满30减4;满50减6;满80减10;满100减12;满200减20', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",建中路242弄27号,"00:00-03:10,17:00-23:59"
1085094603617135,云晓光头烧烤吧（盛夏店）,47,月售429,http://p1.meituan.net/waimaipoi/8959fd675966bf9de36c0ba01e750781512015.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,925m,人均 ¥40,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}",,盛夏路926号1楼（近玉兰香苑）,10:30-23:59
960136825087853,大胡子烧烤（烧烤龙虾中科路店）,42,月售2055,http://p1.meituan.net/waimaipoi/e199c58de45470955bf9c5a3840c9f6a50208.jpg,,38分钟,0,起送 ¥20,配送 ¥5,,1,,1.6km,人均 ¥31,,"[{'info': '满48减4;满75减8;满100减13', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品7.71折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",中科路2615号,"00:00-05:00,17:00-23:59"
1121631890381274,吉吉签老成都串串,42,月售461,http://p1.meituan.net/waimaipoi/493c0f23579bb62175689144627aea15117628.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,754m,人均 ¥38,"{'icon': 'http://p1.meituan.net/xianfu/a0b192ffdab672109d9f767dbd49653a919.png', 'recommendReason': '大众点评高分店铺', 'type': 3}",,上海市浦东新区盛夏路1041号,11:10-23:20
1099160621490693,串意十足烧烤店（张江店）,41,月售4285,http://p0.meituan.net/waimaipoi/aed5b6980edd1725308ff3c5b17e259644901.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,2.9km,人均 ¥25,,"[{'info': '满49减30;满78减35;满98减40;满108减45;满168减50', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品0.17折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领5元券;领8元券;领10元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付1元返5元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}, {'info': '本店支持开发票，开票金额0元起', 'iconUrl': 'http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png', 'promotionType': 2, 'activityId': 0}]",紫薇路203-205号1-3层，207号1-2层，209号2层,"00:00-03:00,16:00-23:59"
1045688278651577,郑记小厨,43,月售3115,http://p1.meituan.net/waimaipoi/0e0bd2ac245f2747f0e37561786e399d55353.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥7,,1,,946m,人均 ¥30,,"[{'info': '满30减10;满60减15;满90减22', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇盛夏路902号1-2层,09:30-23:59
902446824393628,龙门铁板海鲜炒饭（益江店）,43,月售1098,http://p0.meituan.net/waimaipoi/03ae52222602ea976757172b00375e1478213.jpg,,30分钟,0,起送 ¥15,配送 ¥5,,1,,777m,人均 ¥18,,"[{'info': '满22减12;满42减17;满72减30;满92减38', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品6.5折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '领3元券;领6元券', 'iconUrl': 'http://p0.meituan.net/xianfu/c2c0f31d0ebf0f60af115d058169c492992.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付15元返3元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",上海市浦东新区张江镇益江路135弄3号1层102室,10:00-23:00
915400445750326,重庆鸡公煲（张江店）,47,月售3252,http://p1.meituan.net/waimaipoi/032e7ab419caae3c97bf190d627a9e4836864.jpg,,30分钟,1,起送 ¥20,夜间配送 ¥8,,1,,2.4km,人均 ¥28,,"[{'info': '满21减17;满59减25;满99减33', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品5.85折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}, {'info': '实际支付1元返5元商家代金券', 'iconUrl': 'http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png', 'promotionType': 2, 'activityId': 0}]",浦东新区张江镇广兰路1116号,09:30-23:55
1060621879945368,倪氏龙虾,42,月售1121,http://p0.meituan.net/waimaipoi/e218e043a576ab1ac1c6e71efbfe63e557888.jpg,,36分钟,0,起送 ¥0,配送 ¥5,,1,,2.5km,人均 ¥94,,"[{'info': '满50减10;满100减20;满200减40', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品8.22折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",浦东新区唐镇唐安路1119号1层,"00:00-02:00,10:40-23:59"
879704972542893,正新鸡排（张东路）,48,月售1391,http://p1.meituan.net/waimaipoi/948b5ce976fa4ee9c2a606b22cfa602a43555.jpg,http://p1.meituan.net/aichequan/a88918ba8699e15a5d16d5d7e09ad0022192.png,30分钟,1,起送 ¥18,夜间配送 ¥8,,1,,324m,人均 ¥16,,"[{'info': '满40减18;满50减25;满60减32;满70减36', 'iconUrl': 'http://p0.meituan.net/xianfu/f8bc8dffdbc805878aa3801a33f563cd1001.png', 'promotionType': 2, 'activityId': 0}, {'info': '折扣商品0.1折起', 'iconUrl': 'http://p1.meituan.net/xianfu/9c997ecce6150671b8459738a26f8bd9767.png', 'promotionType': 2, 'activityId': 0}]",张东路2201弄34号,09:00-23:55
