id,number,bonus,date
19081,4307815,"41,689,461.09",2019-07-14
19080,3255811,"39,157,022.60",2019-07-12
19079,9854205,"40,864,352.78",2019-07-09
19078,4070393,"38,039,516.35",2019-07-07
19077,4251034,"35,026,564.46",2019-07-05
19076,2597811,"31,957,442.28",2019-07-02
19075,8332655,"34,571,021.41",2019-06-30
19074,0956205,"32,012,979.45",2019-06-28
19073,2245529,"28,194,100.13",2019-06-25
19072,8610496,"25,645,421.16",2019-06-23
19071,2498482,"23,058,362.14",2019-06-21
19070,4249972,"24,248,540.87",2019-06-18
19069,6680147,"26,247,968.10",2019-06-16
19068,6633809,"23,714,469.47",2019-06-14
19067,0885974,"20,064,079.17",2019-06-11
19066,6778610,"22,477,327.25",2019-06-09
19065,4336227,"25,153,120.34",2019-06-07
19064,1712233,"31,955,568.10",2019-06-04
19063,1282648,"40,077,405.44",2019-06-02
19062,5474128,"37,359,553.72",2019-05-31
19061,2988967,"34,234,654.07",2019-05-28
19060,1847928,"31,971,351.03",2019-05-26
19059,0197026,"34,376,544.61",2019-05-24
19058,5899518,"30,596,784.28",2019-05-21
19057,9975203,"33,705,977.25",2019-05-19
19056,6776442,"31,214,521.22",2019-05-17
19055,5806877,"27,221,748.69",2019-05-14
19054,1607461,"29,490,477.96",2019-05-12
19053,7679324,"31,365,963.22",2019-05-10
19052,8507838,"27,761,174.09",2019-05-07
19051,2915497,"25,125,977.76",2019-05-05
19050,2602089,"22,256,403.83",2019-05-03
19049,2589916,"33,870,415.95",2019-04-30
19048,6824298,"41,597,715.41",2019-04-28
19047,6732786,"38,926,803.23",2019-04-26
19046,2955112,"35,541,160.95",2019-04-23
19045,9773879,"38,355,487.06",2019-04-21
19044,8206308,"40,297,385.56",2019-04-19
19043,8144737,"36,741,021.97",2019-04-16
19042,2608262,"39,007,736.71",2019-04-14
19041,6025851,"36,462,121.90",2019-04-12
19040,4814882,"32,669,260.00",2019-04-09
19039,7731428,"30,020,555.32",2019-04-07
19038,0017995,"27,982,491.64",2019-04-05
