aid,appmsgid,cover,digest,item_show_type,itemidx,link,title,update_time
2247483727_1,2247483727,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVezM8t5nBVQjtqhZzFa6Em9pBDgsiaIa2LWn6UZiaudqMbqszq9tgnibpmumUQ4uqibTicoqaHHJW2co5g/0?wx_fmt=jpeg,Prophet 简介Facebook 去年开源了一个时间序列预测的算法，叫做 fbprophet，它的官方网,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483727&idx=1&sn=b12915a17afc08b3f1fac43818c17ec0&chksm=9bc5e91dacb2600b4ab5ed5306b95b459fc20029e148dcc1f42b31a461651fd900d0d145b903#rd,FACEBOOK 时间序列预测算法 PROPHET 的研究,1547778909
2247483721_1,2247483721,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVcfGPjBia1ZfXnwhvSD5rvOdmCkgp9PwlY5iapFJ8lUqz9HL2xZ6Fian03L9BRpwU2qkjJYehMaia4s6g/0?wx_fmt=jpeg,K-means 算法 原理与实现,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483721&idx=1&sn=dea5f57ae629ef0a72d959fa651e4310&chksm=9bc5e91bacb2600d6ef49cf9bf92107cfb894864b79c9df9c4632c460b67e28fdb84e64a5d19#rd,机器学习(十五) K-means 算法,1547710153
2247483714_1,2247483714,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVcg7wRBIJiciaPLLjic24HU0GIhes5nNXHAITWxl6xQWObz9PM8BqWBibyOaSTdVaS5CcJCAEibIubfMow/0?wx_fmt=jpeg,芝麻分550，好书无限量免费看！,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483714&idx=1&sn=a5d6a97586d89997a4af798c39ea6eac&chksm=9bc5e910acb260066518038e683f376603409091b0ff9e13565fbd5dad56825df10d5b60246c#rd,芝麻分550，好书无限量免费看！,1547476322
2247483709_1,2247483709,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVcscGsDZwf1OZfY33hUslCs0cZm96jObDrOUPCpMHCibbD3p5gykiawo1Ha1BakhGAIgj9jgQXQs5Gg/0?wx_fmt=jpeg,基于Siamese Network进行问题句子相似性判定,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483709&idx=1&sn=f9dda45b4414ddcac489f8badfbe3735&chksm=9bc5e96facb26079fad09f27f8d0d3fe6a5008208596ce3acca2bce5c7d812f822afed1f6726#rd,NLP系列（二）基于Siamese Network进行问题句子相似性判定,1547174462
2247483705_1,2247483705,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVcr5dWolXoe0JZ4zSicicSBleOKe2Ug829qKWRDiagL1YRTSHddZ2sl8lEiaFdh5Y7LGfgCibgjRR7F5Vg/0?wx_fmt=jpeg,pkuseg-python：一个高准确度的中文分词工具包,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483705&idx=1&sn=da6f74d6566c169bacf6ffe635666b6d&chksm=9bc5e96bacb2607d855fb34018f3b7b5d1fef3323fc3348fd241c3c05ab03aabe753a0d41a14#rd,NLP系列（一）pkuseg-python：一个高准确度的中文分词工具包,1547020567
2247483693_1,2247483693,https://mmbiz.qlogo.cn/mmbiz_png/1FD1x61uYVfhic6zf3lvz6OHVFrDEJYYjbgQqlqnqZrCBKNBEjDjdZIO6mUlvHtIcWVvMRl8utVOBHNPNSygx3w/0?wx_fmt=png,交叉验证介绍与实例,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483693&idx=1&sn=1557f2af299b3bb75d9b55045c1db759&chksm=9bc5e97facb26069f126885b518aa31c614c6b07621d028089ae0b0c2742da335ee965b92d08#rd,机器学习（十二）交叉验证实例,1540051225
2247483688_1,2247483688,https://mmbiz.qlogo.cn/mmbiz_png/1FD1x61uYVf2gQaQeToNL5EZJE2kJFMM7xCuW33VAkQaZaicbsVTQc3I8pzqArbQCnVmiasic8GHNjlfIF6oUjGUg/0?wx_fmt=png,"DataCastle比赛赛题一：光伏功率预测
光伏发电具有波动性和间歇性，大规模光伏电站并网运行可能对电力系",0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483688&idx=1&sn=b15c4544aab8f3eb3c1834ae469ecacd&chksm=9bc5e97aacb2606c8a4c1edae83d565082fb439767aed4a4f130d1249147ed41572c6a59d23e#rd,国能日新光伏功率预测大赛 ,1539701682
2247483685_1,2247483685,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVdHlMDkplUEib9UXaetQPibVGvysicpLdpkLr3Bjp9McBWIehRUNlsPsRFibicvolPhoiaxSKUveicPafoKQ/0?wx_fmt=jpeg,冰糖雪梨银耳汤制作,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483685&idx=1&sn=9e14a57c485aae699fc5c5d2ccdcb1a3&chksm=9bc5e977acb260618d3711b0987f605f2cc474643e7572fa980eec0625e9933cd4637ab0bdf5#rd,冰糖雪梨银耳汤【制作】,1539618912
2247483677_1,2247483677,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVfglUOSUqHDQSUbiaTUeibOjptqHpvVIbJonvoTSneCJ4zH7SkJPjh9JRBBu6O28wHicjnnAVC85xdUQ/0?wx_fmt=jpeg,一层一层地爬上万寿山，华尔兹冰激凌不错一段历史的记忆自然的定格阳光明媚深邃的山路午后的宁静小猫累了出园的小路,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483677&idx=1&sn=66b85abfc697fdd0f217a0e452ffbbda&chksm=9bc5e94facb2605938c34710cb4ea769846b9d45eb20157a13a0b4bb80507d9779166bf365e2#rd,我和小猫---颐和园之旅,1529236439
2247483665_1,2247483665,https://mmbiz.qlogo.cn/mmbiz_jpg/1FD1x61uYVfWpTRO5OLTj2NWN96CdibzlCQOibWt0WerSrxN6nRpaDbxEzhGXH8UiaBUFQMLlEUIPuINYrXbF9yWQ/0?wx_fmt=jpeg,going,0,1,http://mp.weixin.qq.com/s?__biz=MzAxOTU5NTU4MQ==&mid=2247483665&idx=1&sn=8593bdb079cf1c7da400e6d0dc1b3238&chksm=9bc5e943acb26055d1fcb392097bb5834e4846c5f23ac9663e057b30290f5271b494add298a7#rd,玉渊潭公园,1526129796
